job_id,job_title,industry,required_education,required_degree_field,years_of_experience,hard_skills,soft_skills,hard_skills_normalized,soft_skills_normalized,all_skills,company,location,employment_type,experience_level,skills_required,salary_min_usd,salary_max_usd,remote_allowed,posted_date,salary_avg_usd,salary_min_inr,salary_max_inr,salary_avg_inr,salary_min_lpa,salary_max_lpa,salary_avg_lpa,skills_list
1,Software Engineer,Technology,Bachelor,Computing,2.0,"['Python', 'Java', 'C++', 'Git', 'Version Control', 'Algorithms', 'Data Structures', 'System Design', 'Unit Testing', 'CI/CD', 'Agile', 'REST APIs', 'OOP']","['Problem-Solving', 'Teamwork']","['python', 'java', 'c++', 'git', 'version control', 'algorithms', 'data structures', 'system design', 'unit testing', 'ci/cd', 'agile', 'rest apis', 'oop']","['problem-solving', 'teamwork']","['python', 'java', 'c++', 'git', 'version control', 'algorithms', 'data structures', 'system design', 'unit testing', 'ci/cd', 'agile', 'rest apis', 'oop', 'problem-solving', 'teamwork']",,,,,,,,,,,,,,,,,
2,Frontend Developer,Technology,Bachelor,Computing,1.0,"['HTML', 'CSS', 'JavaScript', 'React', 'TypeScript', 'Responsive Design', 'Figma', 'UI/UX', 'Web Performance Optimization', 'Redux']","['Creativity', 'Attention to Detail']","['html', 'css', 'javascript', 'react', 'typescript', 'responsive design', 'figma', 'ui/ux', 'web performance optimization', 'redux']","['creativity', 'attention to detail']","['html', 'css', 'javascript', 'react', 'typescript', 'responsive design', 'figma', 'ui/ux', 'web performance optimization', 'redux', 'creativity', 'attention to detail']",,,,,,,,,,,,,,,,,
3,Backend Developer,Technology,Bachelor,Computing,2.0,"['Java', 'Python', 'Node.js', 'Spring Boot', 'REST APIs', 'Databases', 'SQL', 'Authentication', 'Microservices', 'Docker', 'CI/CD']","['Logical Thinking', 'Collaboration']","['java', 'python', 'node.js', 'spring boot', 'rest apis', 'databases', 'sql', 'authentication', 'microservices', 'docker', 'ci/cd']","['logical thinking', 'collaboration']","['java', 'python', 'node.js', 'spring boot', 'rest apis', 'databases', 'sql', 'authentication', 'microservices', 'docker', 'ci/cd', 'logical thinking', 'collaboration']",,,,,,,,,,,,,,,,,
4,Full Stack Developer,Technology,Bachelor,Computing,3.0,"['JavaScript', 'React', 'Node.js', 'MongoDB', 'Express.js', 'HTML', 'CSS', 'REST APIs', 'CI/CD', 'Git', 'Agile']","['Adaptability', 'Communication']","['javascript', 'react', 'node.js', 'mongodb', 'express.js', 'html', 'css', 'rest apis', 'ci/cd', 'git', 'agile']","['adaptability', 'communication']","['javascript', 'react', 'node.js', 'mongodb', 'express.js', 'html', 'css', 'rest apis', 'ci/cd', 'git', 'agile', 'adaptability', 'communication']",,,,,,,,,,,,,,,,,
5,DevOps Engineer,Technology,Bachelor,Computing,3.0,"['Docker', 'Kubernetes', 'CI/CD', 'AWS', 'Terraform', 'Jenkins', 'Monitoring Tools', 'Bash Scripting', 'Linux', 'Infrastructure as Code']","['Problem-Solving', 'Teamwork']","['docker', 'kubernetes', 'ci/cd', 'aws', 'terraform', 'jenkins', 'monitoring tools', 'bash scripting', 'linux', 'infrastructure as code']","['problem-solving', 'teamwork']","['docker', 'kubernetes', 'ci/cd', 'aws', 'terraform', 'jenkins', 'monitoring tools', 'bash scripting', 'linux', 'infrastructure as code', 'problem-solving', 'teamwork']",,,,,,,,,,,,,,,,,
6,Machine Learning Engineer,Technology,Master,Computing,2.0,"['Python', 'TensorFlow', 'Data Modeling', 'PyTorch', 'Keras', 'Scikit-learn', 'Pandas', 'NumPy', 'SQL', 'Cloud Platforms (AWS, Azure, GCP)', 'MLOps tools (Kubeflow, MLflow)', 'Distributed computing (Spark, Hadoop)', 'Algorithm optimization', 'A/B testing frameworks', 'Docker', 'Kubernetes']","['Analytical Thinking', 'Creativity']","['python', 'tensorflow', 'data modeling', 'pytorch', 'keras', 'scikit-learn', 'pandas', 'numpy', 'sql', 'cloud platforms (aws, azure, gcp)', 'mlops tools (kubeflow, mlflow)', 'distributed computing (spark, hadoop)', 'algorithm optimization', 'a/b testing frameworks', 'docker', 'kubernetes']","['analytical thinking', 'creativity']","['python', 'tensorflow', 'data modeling', 'pytorch', 'keras', 'scikit-learn', 'pandas', 'numpy', 'sql', 'cloud platforms (aws, azure, gcp)', 'mlops tools (kubeflow, mlflow)', 'distributed computing (spark, hadoop)', 'algorithm optimization', 'a/b testing frameworks', 'docker', 'kubernetes', 'analytical thinking', 'creativity']",,,,,,,,,,,,,,,,,
7,Data Scientist,Technology,Master,Computing,2.0,"['Python', 'Machine Learning', 'Data Visualization', 'R', 'SQL', 'Tableau/Power BI', 'Apache Spark', 'Hadoop', 'A/B Testing', 'Statistical modeling', 'Predictive analytics', 'Natural Language Processing (NLP)', 'Computer Vision', 'Big Data technologies', 'ETL processes', 'Git']","['Critical Thinking', 'Communication']","['python', 'machine learning', 'data visualization', 'r', 'sql', 'tableau/power bi', 'apache spark', 'hadoop', 'a/b testing', 'statistical modeling', 'predictive analytics', 'natural language processing (nlp)', 'computer vision', 'big data technologies', 'etl processes', 'git']","['critical thinking', 'communication']","['python', 'machine learning', 'data visualization', 'r', 'sql', 'tableau/power bi', 'apache spark', 'hadoop', 'a/b testing', 'statistical modeling', 'predictive analytics', 'natural language processing (nlp)', 'computer vision', 'big data technologies', 'etl processes', 'git', 'critical thinking', 'communication']",,,,,,,,,,,,,,,,,
8,Data Analyst,Technology,Bachelor,Computing,1.0,"['SQL', 'Excel', 'Tableau', 'Python (Pandas, NumPy, Matplotlib, Seaborn)', 'R', 'Power BI', 'Google Analytics', 'A/B Testing', 'Data cleaning and transformation', 'Statistical analysis', 'Database management', 'ETL processes', 'Version control (Git)']","['Attention to Detail', 'Problem-Solving']","['sql', 'excel', 'tableau', 'python (pandas, numpy, matplotlib, seaborn)', 'r', 'power bi', 'google analytics', 'a/b testing', 'data cleaning and transformation', 'statistical analysis', 'database management', 'etl processes', 'version control (git)']","['attention to detail', 'problem-solving']","['sql', 'excel', 'tableau', 'python (pandas, numpy, matplotlib, seaborn)', 'r', 'power bi', 'google analytics', 'a/b testing', 'data cleaning and transformation', 'statistical analysis', 'database management', 'etl processes', 'version control (git)', 'attention to detail', 'problem-solving']",,,,,,,,,,,,,,,,,
9,Data Engineer,Technology,Bachelor,Computing,2.0,"['SQL', 'ETL', 'BigData', 'Python/Java/Scala', 'Apache Spark', 'Hadoop', 'Kafka', 'Airflow', 'Data Warehousing (Snowflake, Redshift, BigQuery)', 'Cloud Platforms (AWS, Azure, GCP)', 'NoSQL databases (MongoDB, Cassandra)', 'Data governance', 'Data pipelines', 'Data modeling']","['Collaboration', 'Logical Thinking']","['sql', 'etl', 'bigdata', 'python/java/scala', 'apache spark', 'hadoop', 'kafka', 'airflow', 'data warehousing (snowflake, redshift, bigquery)', 'cloud platforms (aws, azure, gcp)', 'nosql databases (mongodb, cassandra)', 'data governance', 'data pipelines', 'data modeling']","['collaboration', 'logical thinking']","['sql', 'etl', 'bigdata', 'python/java/scala', 'apache spark', 'hadoop', 'kafka', 'airflow', 'data warehousing (snowflake, redshift, bigquery)', 'cloud platforms (aws, azure, gcp)', 'nosql databases (mongodb, cassandra)', 'data governance', 'data pipelines', 'data modeling', 'collaboration', 'logical thinking']",,,,,,,,,,,,,,,,,
10,Cloud Architect,Technology,Master,Computing,4.0,"['AWS', 'Azure', 'Cloud Security', 'GCP', 'Kubernetes', 'Docker', 'Infrastructure as Code (Terraform, CloudFormation, ARM templates)', 'Networking (VPC, VPN, Load Balancing)', 'Serverless computing (Lambda, Azure Functions)', 'Database solutions (Relational and NoSQL in cloud)', 'Disaster Recovery', 'Microservices architecture']","['Strategic Thinking', 'Leadership']","['aws', 'azure', 'cloud security', 'gcp', 'kubernetes', 'docker', 'infrastructure as code (terraform, cloudformation, arm templates)', 'networking (vpc, vpn, load balancing)', 'serverless computing (lambda, azure functions)', 'database solutions (relational and nosql in cloud)', 'disaster recovery', 'microservices architecture']","['strategic thinking', 'leadership']","['aws', 'azure', 'cloud security', 'gcp', 'kubernetes', 'docker', 'infrastructure as code (terraform, cloudformation, arm templates)', 'networking (vpc, vpn, load balancing)', 'serverless computing (lambda, azure functions)', 'database solutions (relational and nosql in cloud)', 'disaster recovery', 'microservices architecture', 'strategic thinking', 'leadership']",,,,,,,,,,,,,,,,,
