id_num,job_title,short_description,industry,pay_grade,normalized_skills,missing_skills,skill_gap_percentage,skill_gap_priority
1,Software Engineer,Develop and maintain web applications using modern frameworks,Technology,High paying,['problem solving logical reasoning attention to detail team collaboration critical thinking'],['problem solving logical reasoning attention to detail team collaboration critical thinking'],100.0,Critical
2,Data Scientist,Analyze large datasets to extract business insights and build predictive models,Technology,High paying,['analytical thinking pattern recognition mathematical reasoning problem solving research skills'],['analytical thinking pattern recognition mathematical reasoning problem solving research skills'],100.0,Critical
3,Marketing Manager,Lead marketing campaigns and brand strategy development,Marketing,Average paying,['creative thinking strategic planning communication leadership project management'],['creative thinking strategic planning communication leadership project management'],100.0,Critical
4,UX Designer,Design user-friendly interfaces and improve user experience,Technology,Average paying,['creative problem solving empathy research skills visual thinking user-centered design'],['creative problem solving empathy research skills visual thinking user-centered design'],100.0,Critical
5,Financial Analyst,Analyze financial data and prepare reports for investment decisions,Finance,Average paying,['analytical thinking attention to detail mathematical reasoning critical thinking report writing'],['analytical thinking attention to detail mathematical reasoning critical thinking report writing'],100.0,Critical
6,Project Manager,Coordinate cross-functional teams to deliver projects on time and budget,Business Services,Average paying,['leadership organization time management communication risk assessment'],['leadership organization time management communication risk assessment'],100.0,Critical
7,Sales Representative,Generate leads and close deals with potential customers,Sales,Average paying,['persuasion communication relationship building resilience goal orientation'],['persuasion communication relationship building resilience goal orientation'],100.0,Critical
8,HR Specialist,Manage recruitment processes and employee relations,Human Resources,Average paying,['interpersonal skills communication conflict resolution organizational skills discretion'],['interpersonal skills communication conflict resolution organizational skills discretion'],100.0,Critical
9,Graphic Designer,Create visual content for marketing materials and brand assets,Creative Services,Average paying,['creativity visual communication color theory artistic skills brand awareness'],['creativity visual communication color theory artistic skills brand awareness'],100.0,Critical
9,Graphic Designer,Create visual content for marketing materials and brand assets,Creative Services,Average paying,['creativity visual communication color theory artistic skills brand awareness'],"['adobe creative suite', 'brand guidelines', 'creativity', 'graphic design', 'visual communication']",100.0,Critical
10,Business Analyst,Analyze business processes and recommend improvements,Business Services,Average paying,['analytical thinking process improvement problem solving communication systems thinking'],['analytical thinking process improvement problem solving communication systems thinking'],100.0,Critical
